S.No.,Department,Scheme Code,Scheme Name,Assistance,Eligibility,Scope,Funding,Contact Point
11,FISHERIES,FISH-MMMSY-UP,Mukhya Mantri Matsya Sampada Yojana,"First-year input support for seed, feed, lime, fertiliser and basic equipment in Gram Sabha ponds.
Seed bank support includes construction of nursery units, seed holding tanks/cages and initial operating inputs.
The exact financial norms and unit costs are notified annually via departmental Govt Orders (शासनादेश) accessible in “महत्वपूर्ण शासनादेश / वित्तीय स्वीकृतियाँ” on the department site.
","Primary beneficiaries: Gram Sabha pond lease-holders (individual or groups), including women SHGs, co-operatives, and traditional fishing communities.
Key eligibility criteria:
Valid and current lease deed of the Gram Sabha / other public pond in the beneficiary’s name/organisation.
Clean dues – no outstanding arrears of lease rent or previous government loans.
Commitment to follow departmental stocking density, species mix and management norms.
For seed bank projects – adequate technical capacity and space for nursery/seed holding.
",STATE,100% UPGOV,Assistant Director (Fisheries)
12,FISHERIES,FISH-UPMPKKY-UP,Uttar Pradesh Matsya Palak Kalyan Kosh Yojana (Training & Welfare Fund),"(A) Assistance for Natural Calamity Loss (दैवीय आपदा सहायता)
Financial assistance to fish farmer / fisherman families for damage or loss caused by natural calamities (floods, heavy rains, etc.) affecting ponds, nets, boats, gear, or stock.
Objective: Quick livelihood restoration so that families can resume fish culture/fishing without falling into chronic debt. 
(B) Medical Assistance (चिकित्सा सहायता)
Financial support to fish farmers/fishermen and their family members in case of serious illness or accidental injury.
Objective: Reduce health-related financial shocks in highly vulnerable fishing households. 
(C) Training, Exposure Visits and Seminars (प्रशिक्षण / भ्रमण / सेमिनार)
Support for inter-state and intra-state exposure visits, skill development trainings, exhibitions, seminars for fishers and fish farmers.
Includes:
Technical training on modern aquaculture, seed production, feed management, disease control, etc.
Exposure to successful fisheries/aquaculture projects in other states
(D) Fisher Housing with Single Dwelling (मछुआ आवास निर्माण सहायता)
Graded financial assistance for construction of a fisherman’s house with single dwelling as per area and cost norms notified by the State Government.
Objective: Provide dignified housing to eligible fishers in fish-dominated villages.
(E) Community Centre Support (सामुदायिक केंद्र सहायता)
Assistance from the fund for construction or up-gradation of community centres in villages with high fisher populations, to be used for community meetings, training sessions, storage, or small-scale processing/marketing activities.
(F) Infrastructure & Demonstration Centre Renovation (Recent amendment)
Recent orders have allowed the fund to also be used for renovation and redevelopment of departmental “प्रेक्षेत्र” (demonstration fields/centres) and other fisheries infrastructure in fish-dominated villages, beyond earlier village-level development activities. 
(G) Other notified sub-projects
Communication from districts for FY 2025-26 additionally mention:
Moped with Ice Box (mobile fish vending) and
Expanded training and exposure programmes implemented “under the Uttar Pradesh Matsya Palak Kalyan Kosh”.
","Fish farmers and fishermen (मत्स्य पालक / मछुआ) and their families who are:
Engaged in fish business or fisheries activities and
Using fisheries/aquaculture as their primary livelihood for at least one year or more.
Traditional riverine fishing communities, including केवट, मल्लाह, निषाद, बिन्द, धीमर, कश्यप, बाथम, रैकवार, मांझी, गोडिया, कहार, तुरैहा/तुराहा and other similar communities customarily engaged in fishing.
Fishers and fish farmers in “मत्स्य पालक बहुल ग्राम” (villages with high concentration of fishers), particularly to support local infrastructure and community assets
Fulfil specific criteria of the relevant sub-component, as for instance examples have been outlined below:
For calamity loss assistance – proof of loss due to notified calamity and verification by local officers. 
For medical assistance – documentation of illness, hospitalisation, costs, etc.
For training/exposure – being an active fish farmer/fisher nominated by District Fisheries Officer. 
For housing / community centre – availability of land/plot as per norms; location in fish-dominated area; priority to vulnerable groups.
",STATE,100% UPGOV,Assistant Director (Fisheries)
13,FISHERIES,FISH-NBSS-UP,Nishadraj Boat Subsidy Scheme ,"(1) Capital subsidy (percentage and ceiling notified in yearly order) towards cost of fibreglass/other approved boats with outboard motors, safety gear etc. (2)Remaining amount financed through beneficiary contribution and/or bank loan.","(1) Traditional fishing community households (e.g., Nishad community) with:                                  (2) Valid identity and residence proof in the district                                                                            (3) Proof of engagement in fishing (co-operative membership, earlier lease, etc.)                              (4) Priority for BPL, SC/ST, women-headed households, and those already part of fisheries co-operatives/SHGs.",STATE,100% UPGOV,Assistant Director (Fisheries)
14,FISHERIES,FISH-ASSIA-UP,Aeration System Support for Intensive Aquaculture (Women Fish Farmers),"Capital subsidy for purchase and installation of aerators (paddle wheel, blowers, etc.) up to a defined ceiling/unit cost notified annually by Dept.","Women fish farmers, especially Gram Sabha pond pattadars, SHGs and women-led co-operatives. ",STATE,100% UPGOV,Assistant Director (Fisheries)
15,ANIMAL HUSBANDRY,AH-AHIDF,Animal Husbandry Infrastructure Development Fund ,"(1) Interest subvention up to 3% on bank loan for eligible infrastructure projects.                                                                                                                                                  (2) Credit guarantee support through mechanisms like CGTMSE for smaller borrowers.                                                                                                                                              (3) Broad list of eligible activities: milk processing, chilling, value-added products, breed multiplication farms, animal feed plants, etc.","(1) Private companies, FPOs, SHGs, individual entrepreneurs, MSMEs, Section-8 companies engaged in dairy/meat/feed infrastructure.
(2) Project must be financially viable. DPR and bank appraisal is essential for further approval.
(3) Compliance with FSSAI, pollution control, municipal bye-laws etc.",CENTRAL,100% GOI,"Chief Veterinary Officer (CVO), District Lead Bank Manager (LDM) "
16,ANIMAL HUSBANDRY,AH-NLM,National Livestock Mission ,"(1) Capital subsidy / grant for: (2) Poultry, goat, sheep, piggery units; (3) Feed & fodder units, fodder seed production, fodder block units; (4) Breed multiplication farms for sheep/goat/pig/poultry etc. (5) Livestock insurance premium subsidy – premium shared between GoI & State (60:40 in UP) with remaining share from beneficiary, with higher subsidy for SC/ST/BPL. ","(1) Individual farmers, SHG members, FPOs, cooperatives and private entrepreneurs. 
(2) Preference to landless / small & marginal farmers, SC/ST, women groups.
(3) Bankable projects, adherence to unit cost norms and technical parameters in guidelines.",CENTRAL,"60% GOI, 40% UPGOV","Chief Veterinary Officer (CVO), District Lead Bank Manager (LDM) "
17,ANIMAL HUSBANDRY,AH-RGM,Rashtriya Gokul Mission ,"(1) Support to semen stations, bull mother farms, field AI network, IVF labs, sex-sorted semen production & distribution, Gokul Grams, etc.
(2) Gokul Grams, conservation, infrastructure – 100% GoI grant.
(3) IVF pregnancies – subsidy of ₹5,000 per IVF pregnancy to participating farmers (GoI share).
(4) Sex-sorted semen – subsidy up to 50% of cost.
(5) Breed multiplication farms – subsidy up to 50% of capital cost, max ₹2 crore.","(1) Implementing agencies: State AH Dept, State Livestock Dev Boards (e.g., UPLDB), milk federations, ICAR institutes.
(2) Farmers gain indirectly through access to improved AI services, quality semen and heifers; direct subsidies for IVF pregnancies, sex-sorted semen, breed farms.",CENTRAL,100% GOI,Chief Veterinary Officer (CVO)
18,ANIMAL HUSBANDRY,AH-LHDCP,Livestock Health & Disease Policy,"Vaccine cost, logistics, surveillance, strengthening / establishing veterinary hospitals / dispensaries, mobile veterinary vans, compensation for culling in case of outbreaks, etc.","(1) Universal – covers all livestock owners for vaccination.
(2) Priority for organized clusters, dairy villages, and outbreak-prone areas.",CENTRAL,"60% GOI, 40% UPGOV","Chief Veterinary Officer (CVO), District Lead Bank Manager (LDM) "
19,ANIMAL HUSBANDRY,AH-LI,Livestock Insurance (under NLM),"Provide insurance cover against death of cattle/buffaloes and other livestock, stabilising farmer income.",Empanelled insurance companies issue policies. Tagging & photograph of animals mandatory.,CENTRAL,"60% GOI, 40% UPGOV",Chief Veterinary Officer (CVO)
20,ANIMAL HUSBANDRY,AH-ERP,Entrepreneurship for Rural Poultry (Sub-mission under NLM),"(1) 50% capital subsidy on admissible project cost for establishing:
(2) Parent farm + hatchery + brooder-cum-mother unit for rural poultry,
(3) Rural poultry farms (egg/meat), including housing, equipment, brooding, etc.
(4) Maximum subsidy ceiling for poultry units: ₹25 lakh per project.
(5) Remaining 50% project cost to be met by beneficiary contribution / bank loan / other institution finance (e.g., NCDC). 
(6) Model DPRs for poultry are available on the NLM Udyamimitra portal for handholding. ","(1) Eligible entities: Individuals, FPOs, FCOs, SHGs, JLGs, Section-8 companies, cooperatives, etc.
(2) Applicant must be an Indian citizen, with KYC, PAN, bank account.
(3) Minimum unit size: e.g., 1,000 parent layers + 100 males for a parent farm & hatchery unit
(4) Adequate land for poultry sheds and infrastructure; basic financial capacity and acceptable CIBIL score for bank finance.",CENTRAL,"60% GOI, 40% UPGOV","Chief Veterinary Officer (CVO), District Lead Bank Manager (LDM) "
21,ANIMAL HUSBANDRY,AH-ESGF,Entrepreneurship for Sheep & Goat Farming (Small Ruminants) – under NLM,"(1) 50% capital subsidy for sheep & goat breeding farms (breeding units, not just fattening), with minimum                                                                                                     (2) 100 female + 5 male and in multiples of that.
(3) Maximum subsidy ceiling: ₹50 lakh per sheep/goat project.
(4) Infrastructure eligible: sheds, paddocks, feeders, water systems, breeding stock, basic equipment.","(1) Individual farmers, SHG groups, FPOs, Section-8 companies, cooperatives, especially in semi-arid / tribal / marginal zones. Animal Husbandry & Dairying+2myScheme+2
(2) Minimum unit size (100+5) for breeding farms.
(3) Adequate grazing / stall-feeding plan or scope for collaboration with veterinary services and fodder supply.
(4) Contribution of remaining 50% via own funds or bank finance.",CENTRAL,"60% GOI, 40% UPGOV","Chief Veterinary Officer (CVO), District Lead Bank Manager (LDM) "
22,ANIMAL HUSBANDRY,AH-UPPDP-UP,"Uttar Pradesh Poultry Development Policy, 2022","(1) Interest subsidy: 7% interest reimbursement for 5 years on bank loan for commercial layer farms and broiler parent farms.
(2) Project financing: 30% margin money (beneficiary) + 70% bank loan.
(3) Electricity duty exemption: 100% rebate on electricity duty for 10 years on electricity bills of poultry units under the policy.
(4) Stamp duty exemption: 100% exemption on stamp duty on land purchased / leased for establishing units.
(5) Other supports: Training, capacity & entrepreneurship development for selected beneficiaries.","(1) Large and medium-scale poultry entrepreneurs / companies / FPOs / cooperatives setting up commercial layer farms, broiler parent farms, or other large-scale poultry units as notified.
(2) Must comply with environmental, local body & animal welfare norms",STATE,100% UPGOV,District Animal Husbandry Officer 
23,DAIRY DEVELOPMENT,DD-MSGY-UP,Mukhyamantri Svadeshi Gau-Samvardhan Yojana ,"(1) Support for 2-cow unit of specified indigenous breeds.
(2) Project cost: ₹2.00 lakh per 2-cow unit. 
(3) State subsidy:
(4) Up to 40% of project cost, maximum ₹80,000 per unit, as grant. 
(5) Beneficiary contribution / loan: Remaining 60% through own funds / bank loan.","(1) Eligible beneficiaries
(2) Individual dairy farmers / livestock rearers in any district of Uttar Pradesh
(3) Key eligibility criteria
(4) Age ≥18 years. 
(5) Adequate space to keep cattle. 
(6) Already owning not more than 2 indigenous/ crossbred cows (GIR, Sahiwal, Haryana, Tharparkar or F1). 
(7) Cows to be purchased must be 1st or 2nd lactation, with calving not older than 45 days 
(8) 50% of total beneficiaries reserved for women.",STATE,100% UPGOV,Chief Development Officer (CDO)
24,DAIRY DEVELOPMENT,DD-MPPPY-UP,Mukhyamantri Pragatisheel Pashupalak Protsahan Yojana ,"(1) Incentive linked to daily milk yield standards of approved breeds (GIR, Sahiwal, Tharparkar, Haryana, Gangatiri).
(2) ₹10,000 or ₹15,000 per cow is payable once in lifetime per lactation, subject to yield benchmarks. 
(3) Max support for 2 cows per farmer for selected lactations.","(1) Individual progressive farmers in all districts of UP. 
(2) Age ≥18 years.
(3) Only individuals allowed – no groups / firms / organisations. 
(4) Cows must be of specified indigenous breeds and meet departmental milk yield criteria for 1st / 2nd / 3rd lactation.",STATE,100% UPGOV,Chief Development Officer (CDO)
25,DAIRY DEVELOPMENT,DD-NKSY-UP,Nandini Krishak Samriddhi Yojana ,"(1) Coverage: Initially in division-headquarter districts (18 districts indicated; early phase had 10). 
(2) Unit size: 25 cows (Sahiwal, Gir, Tharparkar, plus up to 5 Gangatiri).
(3) Project cost: Around ₹62.50 lakh per unit (₹61.00 lakh with 5 Gangatiri).
(4) Subsidy: 50% of project cost as subsidy (up to ₹31.25 lakh / ₹30.50 lakh)
(5) Financing structure:
(6) Beneficiary contribution 15%,
(7) Bank loan 35%,
(8) State subsidy 50%
(9) Subsidy release in three phases: 
(10) 25% of unit cost after infrastructure completion (shed, fodder store, etc.).
(11) 12.5% after purchase of cows.
(12) 12.5% after birth of minimum 10 calves in the unit (sustainability checkpoint).","(1) At least 3 years’ experience in cow or buffalo rearing certified by CVO.
(2) Land requirement:
(3) 0.5 acre for infrastructure,
(4) 1.5 acre for fodder production (can be own / ancestral / partnership / 7-year registered lease)
(5) Land must be free from water-logging.
(6) Beneficiaries of earlier Kamdhenu / Mini / Micro Kamdhenu schemes are not eligible.
(7) Purchase of cows preferably from breeding tracts outside UP. Animals must be 1st or 2nd lactation, with recent calving. 
(8) Ear-tagging & insurance of animals is mandatory.",STATE,100% UPGOV,Chief Development Officer (CDO)
26,DAIRY DEVELOPMENT,DD-MNKSY-UP,Mini Nandini Krishak Samriddhi Yojana,"(1) Coverage: Scheme applicable in all districts of UP. 
(2) Unit size: 10 cows (Sahiwal, Gir, Tharparkar breeds)
(3) Project cost: ₹23.60 lakh per unit.
(4) Subsidy:
(5) 50% of project cost, max ₹11.80 lakh per 10-cow unit, released in 2 instalments.
(6) Financing structure:
(7) Beneficiary contribution 15%,
(8) Bank loan 35%,
(9) State subsidy 50%.
(10) Subsidy instalments:
(11) 25% of unit cost after infrastructure completion.
(12) 25% after purchase of cows.","(1) Resident of UP (age ≥18 years) 
(2) Experience: At least 3 years’ experience in cow/buffalo rearing, certified by CVO. 
(3) Land requirement:
(4) 0.20 acre for infrastructure,
(5) 0.80 acre for fodder production – own / ancestral / partnership / registered 7-year lease 
(6) land must be free from waterlogging
(7) Exclusions: Previous beneficiaries of Kamdhenu, Mini/Micro Kamdhenu, Nandini Krishak Samriddhi, MSGY are not eligible.",STATE,100% UPGOV,Chief Development Officer (CDO)
27,DAIRY DEVELOPMENT,DD-UPDDMPPP-UP,Uttar Pradesh Dairy Development & Milk Products Promotion Policy – 2022 (with 2025 amendments),"(1) Encourage establishment and expansion of milk processing units, value-added milk product units, cattle feed and nutritional product plants, cold chain and logistics infrastructure.
(2) Capital investment subsidy (pre-2025)
(3) Subsidy up to 10% of capital cost (capex on plant, machinery, tech civil works) up to a cap of ₹5 crore
(4) Interest subvention
(5) Interest subvention offered on term loans as per policy guidelines (percentage & duration defined in the policy and subsequent GOs) for the following interventions:
(6) Establishment of new milk processing & milk product manufacturing units.
(7)Establishment of new cattle feed & nutritional product manufacturing units.
(8) Technological upgradation inside existing dairy plants.
(9) New technologies outside plant (e.g., automated collection, ICT, etc.).
(10) Cold chain installation (BMCs, reefer vans, cold rooms).
(11) Expansion of existing milk processing / milk product units (≥25% capacity increase).
(12) Expansion of cattle feed / nutritional units.
(13) Value-added milk product units (cheese, ice-cream, etc.).
(14) 2025 Cabinet amendments: Grants increased up to 35% for creation / modernisation of dairy units and fodder manufacturing units, with caps:
(15) Up to ₹5 crore for new setups,
(16) Up to ₹2.5 crore for modernisation.","(1) Eligible entities: FPOs, Milk Producer Companies, cooperative dairies, Government institutions, private entrepreneurs, companies, etc.
(2) The applicant must:
(3) Be registered business entity with PAN, GST, Udyog Aadhaar / Udyam.
(4) Have bank-appraised DPR and sanctioned term loan (for interest subvention).
(5) Ensure minimum capacity, employment & investment thresholds as per policy. ",STATE,100% UPGOV,"Chief Development Officer (CDO), Deputy Dairy Development Officer"
28,RURAL DEVELOPMENT,RD-MGNREGS,Mahatma Gandhi National Rural Employment Guarantee Scheme ,"(1) Primary objective – livelihood security
(2) Provide at least 100 days of guaranteed wage employment in a financial year to every rural household whose adult members volunteer to do unskilled manual work.
(3) Secondary objectives – asset creation & natural resource management
(4) Create durable assets linked to water conservation, drought proofing, irrigation, land development, rural connectivity, Anganwadi buildings, cattle-sheds, etc. 
(5) Enhance land and water productivity and support agriculture & allied activities. 
(6) Social protection & inclusion
(7) Provide a fall-back safety net for the poorest, women, SC/ST, landless labourers, migrants returning to villages, and other vulnerable groups.","(1) Eligible unit:
(2) Any rural household willing to do unskilled manual work. 
(3) Basic eligibility conditions
(4) At least one adult (18 years or above) in the household.
(5) Household is resident of a rural area and belongs to the Gram Panchayat where the job card is demanded.
(6) Willingness to do unskilled manual work.
(7) Registration with Gram Panchayat and issue of Job Card is mandatory.
(8) Priority / vulnerable groups
(9) SC / ST households, women-headed households, disabled persons.
(10) Landless labour, marginal farmers, migrant returnees.
(11) Special focus blocks (e.g., Mission Water Conservation, drought-prone, tribal areas).",CENTRAL,"90% GOI, 10% UPGOV","District Programme Coordinator (DPC – MGNREGA), District Magistrate (DM), Chief Development Officer (CDO)"
29,RURAL DEVELOPMENT,RD-PMAY-G,Pradhan Mantri Awaas Yojana – Gramin ,"(1) House construction assistance:
(2) ₹ 1.20 lakh per house in plains (UP), shared 60:40 between Centre–State. 
(3) Convergence benefits:
(4) Toilets – convergence with Swachh Bharat Mission–Gramin (SBM-G). 
(5) MGNREGS wages for unskilled labour during house construction. 
(6) Electricity connections (Saubhagya / State DISCOM schemes).
(7) LPG connections under PM Ujjwala Yojana.
(8) Drinking water under Jal Jeevan Mission. ","(1) Eligible unit: rural household identified in SECC-2011 database and included in Permanent Wait List, verified by Gram Sabha and approved at higher levels.
(2) Vulnerability criteria used for prioritisation:
(3) Homeless or living in 0/1/2 room kuccha house.
(4) No adult member between 16–59 yrs.
(5) No adult literate member (>25 yrs).
(6) Female-headed households, SC/ST, minority households.
(7) Household with disabled member and no able-bodied adult.
(8) Landless households deriving income from casual labour.",CENTRAL,"60% GOI, 40% UPGOV","District Programme Coordinator (Rural Housing/PMAY-G), Project Director, DRDA / PD, Rural Development Agency, Block Development Officer (BDO)"
